index,velocity,filtered
501,1,630864,0
502,1,27367,0
503,1,145545,0
504,0,923009,0
505,0,8055009,0
506,0,6090783,0
507,0,451364,0
508,0,538763,0
509,0,4099346,0
510,0,4559354,0
511,0,358822,0
512,0,4303091,0
513,0,3450471,0
514,0,3828051,0
515,0,3117981,0
516,0,2610558,0
517,0,2131534,0
518,0,1961575,0
519,0,1871399,0
520,0,1005052,0
521,0,09017013,0
522,0,1472817,0
523,0,1410005,0
524,0,1281435,0
525,0,1149753,0
526,0,1050423,0
527,0,09937365,0
528,0,1160304,0
529,0,1002645,0
530,0,1490701,0
531,0,1036139,0
532,0,3244995,0
533,0,2267808,0
534,0,574705,0
535,0,418152,0
536,0,9280285,0
537,0,7127914,0
538,1,055721,0
539,0,7834898,0
540,1,239316,0
541,0,9562438,0
542,1,339756,0
543,0,9477193,0
544,1,136428,0
545,0,9358923,0
546,1,235794,0
547,1,017099,0
548,1,301004,0
549,1,04271,0
550,1,530152,0
551,1,415677,0
552,1,734129,0
553,1,412246,0
554,1,755667,0
555,1,403731,0
556,1,782384,0
557,1,62048,0
558,1,461048,0
559,1,319358,0
560,1,236259,0
561,0,9638032,0
562,0,8664399,0
563,0,756207,0
564,0,6442001,0
565,0,5445992,0
566,0,5300973,0
567,0,4240744,0
568,0,4624584,0
569,0,3956735,0
570,0,3913215,0
571,0,3313558,0
572,0,4419864,0
573,0,3678588,0
574,0,347722,0
575,0,3629318,0
576,0,5411032,0
577,0,5314493,0
578,0,6633158,0
579,0,6374679,0
580,0,7230912,0
581,0,6726632,0
582,3,256638,0
583,2,864226,0
584,3,937356,0
585,4,026723,0
586,4,079328,0
587,4,248471,0
588,5,213874,0
589,5,114333,0
590,6,190035,0
591,5,399787,0
592,7,10985,0
593,5,378092,0
594,8,292716,0
595,5,618989,0
596,7,276274,0
597,5,991893,0
598,7,205646,0
599,6,136573,0
600,6,487349,0
601,5,546052,0
602,5,636603,0
603,4,314877,0
604,4,392226,0
605,3,422591,0
606,3,323897,0
607,2,610772,0
608,2,535676,0
609,1,885079,0
610,2,074379,0
611,1,568211,0
612,1,207328,0
613,0,9528196,0
614,0,6387213,0
615,0,4415363,0
616,1,646983,0
617,1,668682,0
618,1,342748,0
619,2,439755,0
620,3,77577,0
621,3,683296,0
622,4,801775,0
623,4,317914,0
624,3,680008,0
625,5,489321,0
626,4,266693,0
627,5,31597,0
628,6,284076,0
629,5,254365,0
630,4,865436,0
631,5,037548,0
632,4,510679,0
633,4,702402,0
634,4,694816,0
635,4,759685,0
636,3,673332,0
637,3,569022,0
638,3,387699,0
639,3,20474,0
640,2,825033,0
641,2,963896,0
642,2,163843,0
643,2,641815,0
644,2,030055,0
645,1,943629,0
646,1,839609,0
647,1,509703,0
648,1,359086,0
649,1,301,0
650,1,046545,0
651,0,7875428,0
652,0,7157404,0
653,0,5532603,0
654,0,4881753,0
655,0,4397452,0
656,0,4048423,0
657,0,3841279,0
658,0,3416997,0
659,0,4166453,0
660,0,4045118,0
661,0,4281796,0
662,0,3830974,0
663,0,3690625,0
664,0,3740556,0
665,0,3036711,0
666,0,2614235,0
667,0,2294862,0
668,0,1806428,0
669,0,152347,0
670,0,1212558,0
671,0,1768335,0
672,0,1495173,0
673,0,1853088,0
674,0,1586507,0
675,0,1456687,0
676,0,1349751,0
677,0,2080335,0
678,0,2107498,0
679,0,2493178,0
680,0,2113821,0
681,0,2658977,0
682,0,2297707,0
683,0,1861099,0
684,0,166768,0
685,0,1132441,0
686,0,08342863,0
687,0,1238772,0
688,0,1015302,0
689,0,2916332,0
690,0,2819545,0
691,0,2385352,0
692,0,2096497,0
693,0,2416845,0
694,0,217835,0
695,0,2895178,0
696,0,2524913,0
697,0,2904226,0
698,0,2133127,0
699,0,2453255,0
700,0,1732757,0
701,0,5432912,0
702,0,3926073,0
703,0,6278044,0
704,0,4383979,0
705,0,9012551,0
706,0,6363614,0
707,1,173483,0
708,0,81997,0
709,1,46506,0
710,1,051373,0
711,1,767326,0
712,1,257939,0
713,1,47995,0
714,1,233822,0
715,1,620562,0
716,1,223138,0
717,1,353958,0
718,1,138543,0
719,1,5458,0
720,1,190824,0
721,1,622352,0
722,1,3882,0
723,1,463759,0
724,1,362146,0
725,1,449915,0
726,1,297947,0
727,1,160532,0
728,1,079533,0
729,1,655633,0
730,1,513779,0
731,1,141085,0
732,0,9838415,0
733,1,403248,0
734,1,14833,0
735,1,574254,0
736,1,215582,0
737,2,302973,0
738,1,951912,0
739,3,120756,0
740,2,41813,0
741,3,813851,0
742,3,264415,0
743,4,640641,0
744,4,240637,0
745,5,170885,0
746,4,529842,0
747,5,256939,0
748,4,608463,0
749,5,181689,0
750,4,295351,0
751,5,997769,0
752,4,41166,0
753,3,996673,0
754,5,186067,0
755,4,914364,0
756,4,179626,0
757,4,716328,0
758,3,682276,0
759,3,151391,0
760,3,102961,0
761,2,52465,0
762,2,168926,0
763,2,598538,0
764,1,951367,0
765,1,736424,0
766,1,059564,0
767,0,8677705,0
768,0,365901,0
769,1,279251,0
770,1,095719,0
771,1,035565,0
772,2,144855,0
773,1,92609,0
774,2,977584,0
775,3,704797,0
776,3,269178,0
777,3,122611,0
778,3,524888,0
779,3,56329,0
780,3,748207,0
781,3,454018,0
782,3,913507,0
783,3,455363,0
784,3,585042,0
785,3,168276,0
786,3,667713,0
787,2,91133,0
788,3,114101,0
789,2,785029,0
790,3,067865,0
791,2,494004,0
792,2,505679,0
793,2,218993,0
794,2,272381,0
795,1,981935,0
796,1,973645,0
797,1,741478,0
798,1,886189,0
799,1,399204,0
800,1,463714,0
801,1,257515,0
802,1,325769,0
803,1,011311,0
804,1,187211,0
805,0,8669014,0
806,1,009325,0
807,0,7519534,0
808,0,6676744,0
809,0,5285101,0
810,0,6158546,0
811,0,4593012,0
812,0,4255961,0
813,0,3388872,0
814,0,4116803,0
815,0,3062522,0
816,0,3797135,0
817,0,3064618,0
818,0,3325824,0
819,0,3016684,0
820,0,2415257,0
821,0,2208252,0
822,0,198542,0
823,0,1749377,0
824,0,1924513,0
825,0,1628341,0
826,0,1411304,0
827,0,1168087,0
828,0,1225653,0
829,0,09447423,0
830,0,1627799,0
831,0,1532443,0
832,0,1669788,0
833,0,1538482,0
834,0,1429253,0
835,0,1321483,0
836,0,1471539,0
837,0,1264027,0
838,0,09909713,0
839,0,08059707,0
840,0,0739769,0
841,0,06828833,0
842,0,122664,0
843,0,1162146,0
844,0,1411521,0
845,0,1232261,0
846,0,2026084,0
847,0,1911053,0
848,0,2210206,0
849,0,1855918,0
850,0,2450389,0
851,0,1825068,0
852,0,1311834,0
853,0,1142881,0
854,0,2553024,0
855,0,2149374,0
856,0,1237321,0
857,0,1057871,0
858,0,175458,0
859,0,1911175,0
860,0,2923604,0
861,0,3158997,0
862,0,4772211,0
863,0,4847479,0
864,0,5128371,0
865,0,4730434,0
866,0,4438222,0
867,0,4043223,0
868,0,3970825,0
869,0,3541151,0
870,0,2674983,0
871,0,2312312,0
872,0,1747131,0
873,0,1729158,0
874,0,103258,0
875,0,09434465,0
876,0,09124668,0
877,0,08412415,0
878,0,2320356,0
879,0,2295135,0
880,0,3602668,0
881,0,2873007,0
882,0,4713636,0
883,0,3809775,0
884,0,5441534,0
885,0,513351,0
886,0,7174546,0
887,0,6522672,0
888,0,6855421,0
889,0,5728137,0
890,0,6435298,0
891,0,4718803,0
892,0,5950961,0
893,0,4542805,0
894,0,4742123,0
895,0,3683812,0
896,0,3801593,0
897,0,2902341,0
898,0,4619676,0
899,0,374018,0
900,0,2585132,0
901,0,5686846,0
902,1,431149,0
903,1,247128,0
904,1,782248,0
905,1,613706,0
906,1,199311,0
907,1,641001,0
908,1,325627,0
909,1,538062,0
910,1,752409,0
911,1,262662,0
912,1,042218,0
913,1,250321,0
914,0,9789995,0
915,1,367477,0
916,1,58903,0
917,1,291419,0
918,1,118533,0
919,1,307078,0
920,1,124839,0
